,mit_user_id,target_price,created_on,,closed_price,round_id,is_influenced,mit_course_id,accuracy,is_revised,is_suggested,is_noop,confidence,is_noop2,gs_user_name,,CrowdMean,CrowdMedian,Market6MMean,Market6MMedian,median,mode_11,mode_21,mode_22,post_social,unimodal,pre,Market6MNormal_Market6M_Mean,Market6MNormal_Market6M_Mode,CrowdNormal_Crowd_Mean,CrowdNormal_Crowd_Mode,Market6MUniform_Market6M_Mean,Market6MUniform_Market6M_Mode,CrowdUniform_Crowd_Mean,CrowdUniform_Crowd_Mode,deGrootModel,conjugateCrowdMarket6MPredicted_Mean,conjugateCrowdMarket6MPredicted_Median,Market6MNormal_Market6MPredicted_Mode,Market6MNormal_Market6MPredicted_Mean,Market6MUniform_Market6MPredicted_Mode,Market6MUniform_Market6MPredicted_Mean
0,10,2122,10/31/16,49:11.7,2126.15,6,FALSE,2,,FALSE,FALSE,FALSE,4,FALSE,6/6/16,50:33.9,2122,2122,2129.540365,2139.56,,2122,2122,2122,FALSE,FALSE,2165,,,,,,,,,,,,,,,
1,10,2122,10/31/16,49:25.7,2126.15,6,TRUE,2,,FALSE,TRUE,FALSE,4,FALSE,6/6/16,50:33.9,0,0,0,0,0,0,0,0,TRUE,FALSE,2122,2131.243976,2139.12,,,2143.913826,2151.33,,,2122,2132.805964,2137.848886,2140.551474,2135.633966,2160.280986,2153.242015
2,10,2122,10/31/16,50:34.5,2191.95,6,FALSE,2,,FALSE,FALSE,TRUE,0,FALSE,6/6/16,50:33.9,0,0,0,0,0,0,0,0,TRUE,FALSE,2122,2131.243976,2139.12,,,2143.913826,2151.33,,,2122,2132.805964,2137.848886,2140.551474,2135.633966,2160.280986,2153.242015
3,1594,2130,10/31/16,51:08.0,2085.18,6,FALSE,2,,FALSE,FALSE,FALSE,7,FALSE,9/20/16,33:42.5,2124,2122,2129.540365,2139.56,,2124,2122,2122,FALSE,FALSE,2200,2163.354668,2168.27,,,2172.375926,2170.95,,,2141.5,2171.805964,2176.848886,2178.993825,2174.295101,2182.808869,2182.247456
4,1594,2130,10/31/16,51:24.0,2191.95,6,FALSE,2,,FALSE,FALSE,TRUE,0,FALSE,9/20/16,33:42.5,0,0,0,0,0,0,0,0,TRUE,FALSE,2130,2136.276091,2139.76,2128.620049,2130,2146.763364,2152.43,2130,2130,2125.2,2136.805964,2141.848886,2147.074292,2141.2643,2165.344223,2156.298658
5,1594,2130,10/31/16,51:33.2,2191.95,6,FALSE,2,,FALSE,FALSE,TRUE,0,FALSE,9/20/16,33:42.5,0,0,0,0,0,0,0,0,TRUE,FALSE,2130,2136.276091,2139.76,2128.740976,2130,2146.763364,2152.43,2130,2130,2126,2136.805964,2141.848886,2147.074292,2141.2643,2165.344223,2156.298658
6,1277,2000,10/31/16,58:36.2,2202.94,6,FALSE,2,,FALSE,FALSE,FALSE,4,FALSE,9/18/16,27:01.0,2108,2122,2129.540365,2139.56,,2108,2126,2126,FALSE,FALSE,2200,2163.354668,2168.27,2130,2130,2172.375926,2170.95,,,2136.571429,2171.805964,2176.848886,2178.993825,2174.295101,2182.808869,2182.247456
7,1277,2000,10/31/16,58:39.7,2191.95,6,FALSE,2,,FALSE,FALSE,TRUE,0,FALSE,9/18/16,27:01.0,0,0,0,0,0,0,0,0,TRUE,FALSE,2000,2060.040389,2057.14,2012.088561,2000,2129.540365,2139.56,2108,2122,2094.5,2071.805964,2076.848886,2064.673378,2068.316106,2153.697771,2143.611929
8,1257,2125,10/31/16,02:42.1,2097.94,6,FALSE,2,,FALSE,FALSE,FALSE,1,FALSE,9/18/16,38:48.3,2097.888889,2122,2129.540365,2139.56,,2097.888889,2125.857143,2125.857143,FALSE,FALSE,2167,2154.061382,2163.26,2125.696186,2130,2159.909535,2163.75,2126,2122,2102.555556,2155.305964,2160.348886,2173.306491,2162.610505,2177.554376,2171.137032
9,1257,2125,10/31/16,02:51.7,2191.95,6,FALSE,2,,FALSE,FALSE,TRUE,0,FALSE,9/18/16,38:48.3,0,0,0,0,0,0,0,0,TRUE,FALSE,2125,2133.175494,2139.18,2123.784944,2125,2145.07115,2152.14,2125.857143,2125,2100.6,2134.305964,2139.348886,2141.87013,2137.772312,2161.448651,2154.486919
10,10,2121,10/31/16,05:56.1,2126.15,6,FALSE,2,,FALSE,FALSE,FALSE,4,FALSE,6/6/16,50:33.9,2102.454545,2122,2129.540365,2139.56,,2102.454545,2125.222222,2125.222222,FALSE,FALSE,2122,2131.243976,2139.12,2124.065715,2125,2143.913826,2151.33,2125.75,2125,2102.545455,2132.805964,2137.848886,2140.551474,2135.633966,2160.280986,2153.242015
11,10,2094,10/31/16,06:28.3,2126.15,6,TRUE,2,,FALSE,TRUE,FALSE,4,FALSE,6/6/16,50:33.9,0,0,0,0,0,0,0,0,TRUE,FALSE,2121,2130.589039,2137.16,2123.975453,2125,2143.913826,2151.33,2125.222222,2125,2104,2132.305964,2137.348886,2140.460879,2134.915311,2160.280986,2152.627195
12,10,2094,10/31/16,06:50.8,2191.95,6,FALSE,2,,FALSE,FALSE,TRUE,0,FALSE,6/6/16,50:33.9,0,0,0,0,0,0,0,0,TRUE,FALSE,2094,2111.532835,2105.26,2117.530581,2122,2135.22062,2141.34,2122.1,2122,2101.153846,2118.805964,2123.848886,2111.762491,2115.332447,2153.738036,2144.566728
13,1958,2140,10/31/16,33:57.0,2141.11,6,FALSE,2,,FALSE,FALSE,FALSE,6,FALSE,10/23/16,29:17.4,2103.928571,2122,2129.540365,2139.56,,2103.928571,2121.25,2121.25,FALSE,FALSE,2240,2169.91652,2172.47,2125.10882,2125,,,,,2111.071429,2191.805964,2196.848886,2185.204595,2182.372082,2198.300563,2198.868577
14,1924,2135,10/31/16,35:21.7,2191.95,6,FALSE,2,,FALSE,FALSE,FALSE,3,FALSE,10/11/16,21:45.6,2106,2122,2129.540365,2139.56,,2106,2122.307692,2122.307692,FALSE,FALSE,2000,2060.040389,2057.14,2017.223089,2000,2129.540365,2139.56,2103.928571,2122,2097,2071.805964,2076.848886,2064.673378,2068.316106,2153.697771,2143.611929
15,1875,2140,10/31/16,45:30.5,2164.45,6,FALSE,2,,FALSE,FALSE,FALSE,5,FALSE,10/4/16,18:46.3,2108.125,2123.5,2129.540365,2139.56,,2108.125,2000,2000,FALSE,FALSE,2208,2164.976787,2169.04,2127.919553,2130,2174.231064,2173.02,,,2112.375,2175.805964,2180.848886,2181.208362,2176.319646,2184.399309,2184.667067
16,1566,2125,11/1/16,53:00.9,2164.45,6,FALSE,2,,FALSE,FALSE,FALSE,6,FALSE,9/20/16,35:33.6,2109.117647,2125,2129.540365,2139.56,,2109.117647,2123.666667,2123.666667,FALSE,FALSE,2157,2150.143909,2159.93,2126.786908,2130,2157.914111,2163.26,2128.5,2125,2111,2150.305964,2155.348886,2165.344223,2157.742262,2175.047923,2167.132223
17,1306,2175,11/1/16,49:47.0,2164.2,6,FALSE,2,,FALSE,FALSE,FALSE,5,FALSE,9/18/16,11:52.0,2112.777778,2125,2129.540365,2139.56,,2112.777778,2126.875,2126.875,FALSE,FALSE,2198.7,2163.072209,2167.48,2129.006139,2130,2172.375926,2170.95,,,2114.094444,2171.155964,2176.198886,2178.993825,2173.941336,2182.597481,2181.824346
18,1198,2129.25,11/1/16,04:11.9,2202.94,6,FALSE,2,,FALSE,FALSE,FALSE,8,FALSE,9/16/16,39:51.0,2113.644737,2125,2129.540365,2139.56,,2113.644737,2127.014706,2127.014706,FALSE,FALSE,2185,2159.723881,2164.69,2134.92187,2130,2167.922273,2168.48,2175,2175,2116.578947,2164.305964,2169.348886,2178.047614,2169.730843,2178.077812,2174.586067
19,1454,2180,11/1/16,53:01.4,2085.18,6,FALSE,2,,FALSE,FALSE,FALSE,5,FALSE,9/20/16,40:14.5,2116.9625,2125,2129.540365,2139.56,,2116.9625,2129.958333,2129.958333,FALSE,FALSE,2100,2115.896278,2113.32,2122.294341,2125,2137.217381,2144.29,2127.014706,2125,2112.9625,2121.805964,2126.848886,2113.000618,2119.605659,2153.899093,2146.670211
